,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
CUST_HIST.12934,0.148006,0.154206,0.090027,0.089984,0.099521,0.106284,0.144823,0.147561,0.153224,0.326244,0.161550,0.106516,0.203000,0.205119,0.167150,0.205353,0.225659,0.160624,0.305930,0.172595,0.141276,0.180730,0.148172,0.063523,0.058490,0.286573,0.122527,0.083570,0.208208,0.195126,0.191989,0.077281,0.037282,0.114998,0.050445,0.060980,0.038150,0.096852,0.171809
CUST_HIST.10001,0.174596,0.166005,0.074158,0.074806,0.071766,0.091689,0.071147,0.148838,0.179306,0.311929,0.184875,0.094543,0.172076,0.196833,0.081501,0.154739,0.207941,0.156778,0.294598,0.148377,0.137553,0.157389,0.168575,0.072863,0.073319,0.255697,0.039687,0.069309,0.201725,0.196148,0.195727,0.082181,0.025826,0.107117,0.065045,0.080984,0.070371,0.107622,0.216252
CUST_HIST.6941,0.176521,0.191071,0.122037,0.101923,0.124922,0.140191,0.129630,0.172554,0.195633,0.371796,0.203979,0.145022,0.222775,0.225050,0.130796,0.199872,0.224947,0.176208,0.342460,0.182160,0.156299,0.176801,0.187435,0.086707,0.091211,0.283918,0.101716,0.108850,0.210792,0.199307,0.229309,0.094757,0.051697,0.136076,0.061153,0.051760,0.057880,0.096342,0.204394
CUST_HIST.4497,0.151256,0.146527,0.059303,0.053277,0.074067,0.099523,0.082241,0.163367,0.162604,0.269622,0.183953,0.114024,0.184430,0.170112,0.080775,0.163052,0.228322,0.151814,0.293818,0.147207,0.150230,0.159077,0.150028,0.081789,0.099156,0.273148,0.071295,0.061547,0.227767,0.213899,0.182613,0.080670,0.031997,0.095941,0.039359,0.072914,0.042063,0.088065,0.193540
CUST_HIST.11001,0.208234,0.190698,0.058992,0.029430,0.088951,0.099037,0.076634,0.132292,0.182931,0.344777,0.194297,0.118602,0.158626,0.224066,0.092699,0.175162,0.233450,0.142057,0.277633,0.128688,0.136410,0.181371,0.178383,0.059500,0.061350,0.275924,0.078799,0.076392,0.210119,0.192690,0.200066,0.064804,0.030569,0.107522,0.063091,0.057001,0.076422,0.089066,0.208063
CUST_HIST.7259,0.175271,0.201459,0.082882,0.077204,0.126909,0.139964,0.169159,0.171134,0.181825,0.345198,0.192551,0.156169,0.217633,0.240587,0.173873,0.216370,0.295344,0.168816,0.338113,0.165272,0.172902,0.181189,0.179998,0.088587,0.099588,0.305623,0.093953,0.105767,0.279010,0.226754,0.207852,0.067491,0.038842,0.108623,0.060190,0.070208,0.060137,0.121345,0.192581
custhist_df.7888,0.170306,0.178687,0.089651,0.089782,0.084439,0.089782,0.077987,0.175571,0.187975,0.317889,0.194922,0.105175,0.157395,0.212399,0.090976,0.177508,0.277809,0.165800,0.322416,0.176124,0.155882,0.176624,0.200425,0.100124,0.096082,0.287109,0.068901,0.098126,0.270398,0.208450,0.212737,0.085334,0.054607,0.111293,0.078811,0.085387,0.064627,0.101741,0.192721
custhist_df.1,0.171468,0.175158,0.078105,0.056050,0.072600,0.085637,0.102902,0.166703,0.159545,0.339688,0.169864,0.097273,0.173679,0.222222,0.121664,0.228235,0.291234,0.158087,0.338479,0.165186,0.163564,0.197572,0.190158,0.088134,0.089033,0.328627,0.069769,0.073844,0.279348,0.225644,0.190838,0.058725,0.031892,0.100958,0.072316,0.071735,0.052597,0.097593,0.193618
custhist_df.9117,0.171416,0.194512,0.111155,0.095733,0.104251,0.117648,0.109610,0.194946,0.191255,0.380096,0.198560,0.124937,0.203616,0.233871,0.113536,0.216941,0.283250,0.179549,0.359592,0.182679,0.164118,0.180067,0.214530,0.110640,0.103950,0.308120,0.099087,0.116088,0.265937,0.206579,0.226954,0.078969,0.060572,0.123344,0.077986,0.056707,0.068057,0.091357,0.178563
custhist_df.19356,0.141222,0.153251,0.074353,0.070759,0.078142,0.075302,0.084458,0.160208,0.149205,0.286024,0.163858,0.106371,0.177640,0.168062,0.092120,0.201196,0.266389,0.139183,0.308844,0.164347,0.152958,0.185269,0.173742,0.090770,0.081118,0.292081,0.106658,0.070109,0.261633,0.217609,0.181470,0.066386,0.056169,0.093359,0.059635,0.057494,0.052466,0.083474,0.172456
custhist_df.1001,0.176128,0.194173,0.090715,0.046863,0.087802,0.093090,0.140345,0.147520,0.154332,0.369218,0.165285,0.094817,0.206743,0.251666,0.152637,0.185077,0.269411,0.152209,0.334936,0.155109,0.147556,0.171719,0.181202,0.073540,0.064296,0.267637,0.106632,0.098688,0.255043,0.205220,0.200724,0.061889,0.037050,0.117391,0.072234,0.045571,0.079581,0.091420,0.154110
custhist_df.4380,0.139854,0.163787,0.093360,0.079276,0.094955,0.112114,0.120874,0.173917,0.162208,0.323522,0.172112,0.125945,0.207659,0.200561,0.116606,0.196157,0.272647,0.160558,0.337435,0.170384,0.151693,0.157618,0.178513,0.086030,0.090318,0.291737,0.091697,0.095571,0.265221,0.207935,0.185989,0.064320,0.050335,0.093175,0.049113,0.041057,0.046323,0.079280,0.166395
custhist_df.931,0.164192,0.191283,0.081947,0.056892,0.079596,0.076709,0.144938,0.154140,0.164582,0.344039,0.173255,0.089304,0.205935,0.236659,0.136782,0.160391,0.248486,0.170054,0.325368,0.136579,0.134969,0.139337,0.188921,0.072186,0.067193,0.252637,0.076656,0.092096,0.241584,0.185713,0.207834,0.042628,0.008458,0.100096,0.055648,0.060401,0.040290,0.073156,0.165501
custhist_df.2001,0.156197,0.166702,0.071298,0.048138,0.046347,0.058353,0.074161,0.172698,0.125305,0.322090,0.125942,0.060687,0.164466,0.225943,0.098710,0.208653,0.261874,0.145512,0.319170,0.149071,0.131736,0.179285,0.180619,0.072064,0.076839,0.316153,0.039298,0.063425,0.254496,0.193995,0.201904,0.070104,0.005746,0.096332,0.051863,0.054964,0.026098,0.089113,0.172910
custhist_df.9702,0.134712,0.159709,0.092289,0.074794,0.094283,0.106988,0.131499,0.165252,0.161308,0.318401,0.171512,0.124910,0.208833,0.194571,0.123716,0.192469,0.269105,0.150110,0.332224,0.166416,0.147835,0.156665,0.179005,0.084437,0.086481,0.284268,0.090603,0.087457,0.260089,0.207313,0.188867,0.060151,0.050719,0.087501,0.049211,0.038377,0.042918,0.075219,0.170147
custhist_df.12411,0.137064,0.167360,0.093458,0.079034,0.100109,0.110704,0.125555,0.177521,0.164198,0.327141,0.173384,0.127725,0.204635,0.201704,0.118905,0.196822,0.273041,0.158902,0.332968,0.166562,0.152633,0.157526,0.183256,0.081374,0.089900,0.287810,0.092411,0.096884,0.263300,0.204939,0.189124,0.062222,0.054323,0.091371,0.050686,0.036874,0.043712,0.071574,0.166641
custhist_df.3001,0.183290,0.197689,0.186645,0.147183,0.125482,0.132417,0.091708,0.180950,0.200460,0.372245,0.193996,0.136497,0.160309,0.228184,0.116310,0.253917,0.313630,0.160038,0.349463,0.267431,0.178565,0.184817,0.228367,0.113315,0.106818,0.349061,0.101149,0.138515,0.286565,0.223923,0.225941,0.122087,0.127725,0.145264,0.096130,0.082487,0.065738,0.104543,0.194269
custhist_df.9972,0.163059,0.185986,0.110897,0.096557,0.104375,0.113661,0.108674,0.192888,0.189180,0.369919,0.196998,0.122357,0.203322,0.225232,0.113581,0.210889,0.279664,0.171967,0.354188,0.183068,0.168816,0.177217,0.210885,0.106306,0.102133,0.306568,0.097069,0.110822,0.262026,0.205929,0.216850,0.073427,0.058600,0.117044,0.070336,0.059496,0.065056,0.090041,0.172939
custhist_df.14005,0.177687,0.188677,0.096950,0.093408,0.088328,0.093639,0.087153,0.180643,0.192375,0.331126,0.195404,0.109385,0.166283,0.223864,0.097083,0.183757,0.289864,0.173144,0.327874,0.179216,0.157207,0.184465,0.202517,0.099323,0.091922,0.293645,0.073090,0.103439,0.282223,0.212806,0.212488,0.085231,0.063979,0.118104,0.080400,0.088603,0.065434,0.099139,0.197596
custhist_df.4001,0.169397,0.172005,0.091016,0.090848,0.075406,0.085828,0.078498,0.171179,0.178036,0.325347,0.183972,0.097460,0.169709,0.208262,0.091708,0.176707,0.283352,0.159151,0.327889,0.174013,0.155719,0.171498,0.201840,0.097733,0.094260,0.282893,0.066298,0.082215,0.276323,0.215781,0.197193,0.076867,0.056813,0.113786,0.077441,0.083422,0.071001,0.099446,0.197254
custhist_df.306,0.169653,0.196011,0.105654,0.090892,0.111304,0.122402,0.106833,0.196210,0.185312,0.384050,0.191730,0.131234,0.197978,0.233975,0.113253,0.221667,0.288729,0.183394,0.359213,0.179922,0.165603,0.183800,0.211035,0.104461,0.107831,0.314430,0.099915,0.112084,0.270307,0.208239,0.222327,0.074916,0.057128,0.129271,0.071842,0.054280,0.064701,0.092696,0.177668
custhist_df.15441,0.141000,0.178348,0.102684,0.094094,0.101385,0.105770,0.139941,0.181789,0.161964,0.341909,0.166517,0.112901,0.206007,0.227229,0.141409,0.212578,0.277313,0.171648,0.344772,0.181630,0.153445,0.159702,0.178217,0.081982,0.086220,0.293092,0.096668,0.103373,0.265104,0.205047,0.192273,0.051724,0.044627,0.097946,0.057426,0.045017,0.037958,0.079522,0.158629
custhist_df.5001,0.191937,0.205063,0.148981,0.132733,0.088812,0.095985,0.075084,0.183235,0.197489,0.396177,0.196861,0.100321,0.165078,0.248127,0.098161,0.240560,0.303867,0.175032,0.346995,0.220727,0.179327,0.187622,0.231585,0.094146,0.107038,0.332880,0.094697,0.116420,0.275359,0.216794,0.215581,0.094043,0.075305,0.127160,0.078686,0.072523,0.062235,0.098594,0.193118
custhist_df.5549,0.161641,0.189882,0.108975,0.095742,0.113019,0.120499,0.131796,0.184112,0.174430,0.353634,0.180515,0.128568,0.206704,0.230328,0.128968,0.212914,0.277963,0.176711,0.347572,0.183988,0.164689,0.172961,0.199375,0.094905,0.098395,0.298782,0.096025,0.108129,0.265900,0.215760,0.199800,0.064380,0.058751,0.109209,0.054475,0.043044,0.048877,0.085426,0.166475
custhist_df.16984,0.176914,0.193174,0.080353,0.066343,0.070651,0.081854,0.090608,0.189150,0.174989,0.331921,0.184841,0.090663,0.168643,0.237124,0.107962,0.221069,0.294962,0.181822,0.339853,0.177570,0.179895,0.200264,0.195997,0.092531,0.111078,0.323536,0.076269,0.075182,0.280494,0.229103,0.199232,0.061935,0.030958,0.109330,0.060677,0.072728,0.047096,0.102072,0.182436
custhist_df.6001,0.188596,0.199380,0.102975,0.080282,0.116487,0.104366,0.100868,0.177798,0.174415,0.355245,0.184902,0.124358,0.159110,0.237960,0.136004,0.241540,0.300688,0.169902,0.339616,0.198016,0.176491,0.221436,0.212773,0.103143,0.096920,0.335673,0.121897,0.103096,0.282400,0.226709,0.207591,0.076097,0.064964,0.128648,0.077366,0.078465,0.066650,0.116400,0.175512
custhist_df.5853,0.171605,0.194468,0.113258,0.093180,0.109325,0.119072,0.109583,0.196947,0.188173,0.375590,0.195211,0.125336,0.200782,0.231445,0.114496,0.222279,0.284481,0.185122,0.359975,0.184931,0.165874,0.181415,0.212430,0.110037,0.111384,0.310911,0.101537,0.113326,0.268288,0.212208,0.222745,0.078035,0.057528,0.125076,0.075069,0.059537,0.071488,0.092717,0.179747
custhist_df.8391,0.164532,0.188072,0.113241,0.102155,0.104176,0.119458,0.113353,0.190292,0.190098,0.377369,0.193137,0.123980,0.203877,0.229928,0.117076,0.212387,0.285583,0.174709,0.360947,0.184949,0.163618,0.178406,0.212128,0.108753,0.103473,0.305587,0.099516,0.112994,0.268325,0.207696,0.225750,0.080819,0.060322,0.122245,0.076008,0.058342,0.063214,0.089746,0.180274
custhist_df.7001,0.189976,0.202453,0.153418,0.127985,0.086367,0.094188,0.077007,0.183575,0.195432,0.394234,0.195610,0.096523,0.161931,0.247211,0.099421,0.240371,0.300262,0.172764,0.344492,0.220307,0.175672,0.184994,0.231727,0.093931,0.105285,0.329366,0.087432,0.119794,0.272874,0.218727,0.221763,0.093558,0.074316,0.127253,0.083316,0.075447,0.061344,0.096068,0.193818
custhist_df.6079,0.167985,0.192969,0.113584,0.093165,0.108562,0.119029,0.109915,0.193960,0.189240,0.376456,0.195846,0.125697,0.201275,0.230743,0.112865,0.215796,0.282305,0.182406,0.358079,0.181904,0.164132,0.177946,0.211940,0.109809,0.105661,0.303725,0.097514,0.110520,0.265196,0.209953,0.221406,0.076182,0.056889,0.121436,0.075622,0.058892,0.066552,0.092941,0.184183
custhist_df.9922,0.170111,0.170400,0.090682,0.087847,0.079903,0.090823,0.084856,0.174765,0.184724,0.317389,0.191397,0.102030,0.168279,0.209677,0.094273,0.173865,0.280927,0.157765,0.321910,0.173072,0.152594,0.174335,0.199889,0.097553,0.093947,0.284449,0.066386,0.084362,0.273647,0.213626,0.193984,0.081292,0.060101,0.109852,0.069702,0.070481,0.060547,0.090502,0.186987
custhist_df.8001,0.163059,0.166161,0.085122,0.084099,0.075219,0.085887,0.078105,0.167839,0.174282,0.322817,0.177935,0.097008,0.168583,0.207331,0.089026,0.164590,0.270863,0.153561,0.320474,0.165513,0.147620,0.167492,0.197345,0.092115,0.089237,0.268502,0.063944,0.080337,0.263093,0.207541,0.191024,0.076668,0.054380,0.106453,0.076845,0.074492,0.068456,0.096611,0.196940
custhist_df.1376,0.139275,0.167092,0.101228,0.082287,0.098635,0.111973,0.131788,0.174874,0.163844,0.334162,0.175412,0.128090,0.209763,0.202912,0.126129,0.201155,0.274683,0.156472,0.340117,0.172940,0.152261,0.165333,0.186731,0.089534,0.092262,0.293994,0.094812,0.094220,0.262947,0.208065,0.196842,0.061502,0.053899,0.097882,0.054454,0.038733,0.042926,0.081016,0.168002
custhist_df.1490,0.172251,0.167286,0.091068,0.083606,0.085374,0.092873,0.086200,0.192463,0.179874,0.316170,0.189075,0.100539,0.162450,0.204507,0.099881,0.191593,0.285246,0.172133,0.325529,0.182763,0.171025,0.173579,0.193937,0.102798,0.107764,0.303705,0.077233,0.091785,0.274474,0.221854,0.203398,0.075595,0.055296,0.115214,0.067868,0.082734,0.063364,0.099955,0.176144
custhist_df.9001,0.161615,0.166255,0.087449,0.079495,0.097254,0.089281,0.118901,0.136818,0.148909,0.340133,0.159470,0.115283,0.178288,0.212138,0.127666,0.182060,0.283728,0.136552,0.322343,0.171518,0.153480,0.190127,0.185910,0.073869,0.055823,0.270168,0.102282,0.067665,0.262003,0.204666,0.207992,0.076665,0.050258,0.126408,0.060649,0.052498,0.051511,0.082882,0.167517
custhist_df.1697,0.155897,0.183202,0.109419,0.094917,0.114558,0.120381,0.134447,0.178460,0.168757,0.348709,0.173899,0.131017,0.208546,0.221466,0.129946,0.213619,0.275364,0.171372,0.345525,0.182770,0.161772,0.166731,0.196060,0.092186,0.097285,0.294403,0.097243,0.102083,0.262562,0.210821,0.201426,0.063592,0.059981,0.108736,0.050909,0.037345,0.049565,0.083436,0.167010
custhist_df.12934,0.190466,0.200022,0.099726,0.076125,0.107074,0.099370,0.093596,0.183340,0.168390,0.355660,0.177971,0.114486,0.155113,0.242693,0.136731,0.251587,0.305234,0.170912,0.337870,0.195015,0.179760,0.234488,0.196383,0.096126,0.088600,0.348576,0.114823,0.104955,0.286157,0.229064,0.210276,0.071328,0.063278,0.126231,0.077029,0.077671,0.058243,0.118958,0.168449
custhist_df.10001,0.171129,0.172944,0.077997,0.052861,0.083206,0.094072,0.103328,0.148505,0.163312,0.334600,0.172503,0.105057,0.160519,0.208020,0.118971,0.227099,0.262748,0.144595,0.298646,0.162122,0.144053,0.179040,0.189542,0.087797,0.075943,0.324252,0.097468,0.082231,0.244483,0.196419,0.184023,0.067349,0.053201,0.102166,0.062479,0.054209,0.047488,0.085809,0.162882
custhist_df.6941,0.156752,0.187608,0.111703,0.095213,0.114320,0.121065,0.137830,0.184443,0.169816,0.354613,0.176851,0.130406,0.209499,0.228868,0.134335,0.212833,0.281048,0.170303,0.351507,0.187681,0.165145,0.173978,0.200330,0.093372,0.099848,0.297366,0.095384,0.107855,0.268711,0.219364,0.200870,0.063193,0.059399,0.110720,0.054986,0.038970,0.043999,0.090397,0.167416
custhist_df.4497,0.139289,0.147420,0.058824,0.054610,0.072603,0.085013,0.084347,0.176758,0.158156,0.270805,0.177378,0.108681,0.174500,0.175824,0.079962,0.171644,0.282693,0.151589,0.310592,0.156415,0.158672,0.162197,0.169177,0.093815,0.106865,0.284437,0.074236,0.067616,0.280508,0.221904,0.177103,0.067248,0.043841,0.085729,0.046452,0.068211,0.044022,0.083900,0.170668
custhist_df.11001,0.222358,0.223022,0.098294,0.070943,0.119189,0.106794,0.094884,0.166691,0.190765,0.375949,0.197168,0.129543,0.152528,0.264934,0.125946,0.224809,0.304692,0.172790,0.328166,0.184115,0.175628,0.220447,0.206802,0.090270,0.081695,0.316861,0.109506,0.118800,0.279580,0.224172,0.232628,0.085635,0.072890,0.138625,0.091547,0.088821,0.084557,0.106435,0.179356
custhist_df.7259,0.155439,0.183329,0.112076,0.093807,0.101377,0.114037,0.108096,0.198731,0.183231,0.371326,0.190208,0.117106,0.196723,0.226244,0.112320,0.219058,0.281175,0.179896,0.356843,0.184637,0.168035,0.179042,0.205605,0.102330,0.103947,0.310632,0.096002,0.107446,0.264220,0.208112,0.213552,0.071592,0.054264,0.117666,0.075339,0.055828,0.066003,0.088305,0.178123
CUSTOMER.10001,0.256675,0.262114,0.078599,0.076594,0.100084,0.099206,0.083062,0.156961,0.214910,0.400812,0.224536,0.128229,0.181279,0.296023,0.084177,0.155476,0.310190,0.163708,0.288768,0.124233,0.163862,0.198476,0.223897,0.079239,0.097463,0.267264,0.060058,0.088837,0.273760,0.191683,0.264112,0.080557,0.057910,0.127877,0.066819,0.086091,0.070998,0.091528,0.242981
CUSTOMER.SRIMVH,0.373001,0.358323,0.096179,0.110741,0.156134,0.140318,0.092147,0.178931,0.256038,0.424910,0.244408,0.164073,0.125397,0.410921,0.119439,0.178997,0.364203,0.179889,0.248875,0.154543,0.190482,0.278484,0.204315,0.035291,0.095345,0.309174,0.074899,0.138107,0.307470,0.205834,0.291607,0.137288,0.104992,0.171218,0.075324,0.149312,0.037647,0.157666,0.269767
CUSTOMER.SLZCISTEWL,0.342629,0.332855,0.095773,0.114432,0.143401,0.119815,0.073398,0.176486,0.239216,0.425877,0.235593,0.150539,0.123425,0.379740,0.099851,0.172328,0.339386,0.172085,0.256049,0.137715,0.183810,0.267691,0.204002,0.030995,0.089327,0.297011,0.062039,0.121100,0.286284,0.198260,0.282618,0.121011,0.081718,0.152366,0.066376,0.119352,0.032088,0.129344,0.269663
CUSTOMER.1467048332 Dell Way,0.235505,0.230510,0.100459,0.121639,0.148217,0.112650,0.039110,0.153897,0.184984,0.377874,0.180251,0.151685,0.098894,0.291607,0.073262,0.167991,0.302573,0.148810,0.232960,0.120648,0.146176,0.204070,0.168174,0.017102,0.065085,0.283756,0.045600,0.100648,0.263606,0.147991,0.219307,0.086938,0.111943,0.102775,0.069567,0.076707,0.041264,0.067098,0.197940
CUSTOMER.Unnamed: 4,0.397860,0.427754,0.161542,0.123276,0.225747,0.191631,0.171865,0.225863,0.291940,0.393729,0.254665,0.217073,0.182135,0.443361,0.230747,0.281657,0.459430,0.235608,0.324527,0.241505,0.271763,0.317697,0.283141,0.117263,0.209460,0.350513,0.148461,0.181951,0.414608,0.327600,0.322305,0.145704,0.163513,0.219452,0.119264,0.202463,0.074272,0.214353,0.270388
CUSTOMER.DXPGGAE,0.342519,0.328660,0.092799,0.113317,0.130038,0.111221,0.073588,0.184159,0.234856,0.426697,0.227026,0.141666,0.121686,0.370834,0.103174,0.188565,0.371696,0.172268,0.271095,0.160230,0.194444,0.278403,0.216318,0.049116,0.103969,0.300560,0.077246,0.137762,0.318673,0.207515,0.310761,0.137388,0.094822,0.160230,0.066671,0.131629,0.032015,0.130846,0.245533
CUSTOMER.Unnamed: 6,0.396828,0.425880,0.160449,0.122520,0.226575,0.190370,0.170071,0.222661,0.291618,0.394343,0.257796,0.219308,0.179707,0.441266,0.229388,0.278282,0.456143,0.234326,0.320518,0.235540,0.264090,0.317736,0.279653,0.113921,0.209302,0.347695,0.151304,0.180798,0.408467,0.317364,0.322315,0.147759,0.160780,0.225401,0.116385,0.197214,0.074047,0.212405,0.269236
CUSTOMER.00000,0.266661,0.277970,0.057757,0.043830,0.094645,0.094694,0.148090,0.163882,0.193683,0.352929,0.198400,0.112783,0.239758,0.316464,0.146318,0.155489,0.322743,0.172874,0.287920,0.118536,0.156545,0.186954,0.226195,0.082891,0.117813,0.256166,0.066783,0.085760,0.289295,0.205422,0.288703,0.082926,0.026279,0.116716,0.043788,0.081134,0.073105,0.106602,0.206792
CUSTOMER.UK,0.304983,0.286845,0.047704,0.076049,0.126456,0.102288,0.062040,0.180028,0.210287,0.414395,0.209551,0.133148,0.145896,0.345427,0.099273,0.147397,0.298103,0.166557,0.235223,0.099807,0.150699,0.218712,0.178265,0.036091,0.091163,0.266904,0.039403,0.103521,0.252829,0.171425,0.275133,0.083483,0.050358,0.139767,0.032355,0.116093,0.025690,0.135473,0.240803
CUSTOMER.2,0.279600,0.292385,0.082522,0.058465,0.125420,0.112650,0.096814,0.160228,0.219975,0.374187,0.230146,0.151046,0.186851,0.319312,0.106384,0.173743,0.361212,0.172367,0.299461,0.142088,0.180332,0.205353,0.242929,0.100237,0.127098,0.281810,0.074611,0.098826,0.318435,0.225876,0.274076,0.079166,0.068333,0.146652,0.085692,0.117428,0.094234,0.135941,0.245334
CUSTOMER.SLZCISTEWL@dell.com,0.268056,0.264804,0.067263,0.112740,0.112122,0.108238,0.021364,0.157177,0.196811,0.378015,0.208529,0.131791,0.096112,0.305205,0.047977,0.120162,0.281340,0.137079,0.236007,0.105125,0.149418,0.207933,0.163600,0.022887,0.065187,0.259677,0.044909,0.091286,0.235653,0.156218,0.225411,0.070760,0.077004,0.138327,0.042316,0.085442,0.039993,0.085072,0.221137
CUSTOMER.1467048332,0.236806,0.245476,0.075727,0.069348,0.101840,0.087896,0.075398,0.149593,0.210144,0.367283,0.223606,0.126617,0.159042,0.280049,0.076981,0.156755,0.312309,0.155219,0.277088,0.118592,0.155420,0.193804,0.216720,0.077446,0.099017,0.266402,0.060052,0.076931,0.275526,0.180917,0.243977,0.060589,0.049975,0.112798,0.064972,0.059663,0.060661,0.084977,0.208930
CUSTOMER.5,0.324456,0.338156,0.121412,0.106607,0.146515,0.138103,0.096405,0.173532,0.246003,0.442338,0.243120,0.156563,0.170072,0.376032,0.132821,0.197191,0.373868,0.200707,0.311013,0.175268,0.203194,0.248303,0.261047,0.093091,0.121185,0.297519,0.103301,0.153948,0.321408,0.230234,0.303187,0.115433,0.103945,0.189893,0.096872,0.144511,0.098075,0.147121,0.246507
CUSTOMER.1281093623023480,0.230449,0.237838,0.058306,0.056403,0.093615,0.082955,0.071034,0.156744,0.200830,0.361655,0.216972,0.121794,0.158635,0.275413,0.078489,0.153650,0.323803,0.153617,0.278622,0.115535,0.163790,0.200186,0.208822,0.072350,0.099836,0.275278,0.052105,0.069026,0.283312,0.189332,0.241232,0.055719,0.041529,0.104796,0.056380,0.069567,0.056070,0.082710,0.207704
CUSTOMER.2012/09,0.290478,0.265303,0.050082,0.036466,0.079920,0.078111,0.055178,0.151719,0.168009,0.428494,0.173748,0.097019,0.157390,0.339575,0.104833,0.152713,0.288945,0.144796,0.274029,0.098142,0.107910,0.236860,0.180583,0.037290,0.058539,0.285261,0.035942,0.099945,0.255118,0.154976,0.279484,0.096854,0.020413,0.154503,0.037976,0.068035,0.006953,0.101212,0.194725
CUSTOMER.user10001,0.324242,0.314702,0.095334,0.091719,0.110193,0.103639,0.064389,0.172573,0.230372,0.429056,0.222775,0.122279,0.124011,0.360829,0.092203,0.161639,0.354483,0.165826,0.267583,0.137586,0.175611,0.232392,0.201271,0.027022,0.075694,0.278455,0.056481,0.125066,0.308801,0.197202,0.271244,0.118920,0.073660,0.142605,0.055908,0.116100,0.042155,0.133549,0.240324
CUSTOMER.password,0.297745,0.397683,0.057512,0.075484,0.072726,0.078602,0.052795,0.162764,0.162355,0.338822,0.169652,0.083140,0.094310,0.397465,0.073758,0.130710,0.307440,0.138784,0.218473,0.101426,0.165579,0.270081,0.150848,0.027615,0.078533,0.234796,-0.010447,0.064367,0.283941,0.202773,0.234192,0.087957,0.033000,0.112251,0.019867,0.181610,-0.007316,0.155606,0.267048
CUSTOMER.44,0.235160,0.254337,0.089276,0.072528,0.147843,0.119411,0.075442,0.155164,0.203045,0.349470,0.213743,0.155572,0.173746,0.273197,0.081453,0.154650,0.299984,0.159507,0.295853,0.128201,0.148747,0.181401,0.204890,0.083228,0.120677,0.254743,0.059741,0.067877,0.269994,0.198628,0.242934,0.045498,0.062477,0.113835,0.038011,0.070746,0.048682,0.126168,0.211783
CUSTOMER.80000,0.278990,0.297240,0.076320,0.067825,0.113216,0.122048,0.136787,0.148560,0.218342,0.410887,0.234334,0.130873,0.228389,0.379162,0.144180,0.145070,0.333910,0.166284,0.311839,0.110695,0.154253,0.196196,0.223432,0.079343,0.096417,0.246438,0.092496,0.121415,0.309985,0.196349,0.276924,0.083506,0.045597,0.138015,0.069254,0.109683,0.080408,0.136713,0.209500
CUSTOMER.F,0.298314,0.288379,0.101193,0.109540,0.132166,0.119374,0.096740,0.166233,0.227576,0.459767,0.234102,0.148211,0.196760,0.347883,0.121082,0.161022,0.325920,0.183075,0.287990,0.135731,0.151154,0.233478,0.212812,0.049456,0.090568,0.275542,0.078880,0.132131,0.279619,0.196559,0.311995,0.095842,0.079564,0.154268,0.052113,0.097122,0.051261,0.103696,0.227700
CUSTOMER.1,0.248367,0.257439,0.110012,0.092882,0.120210,0.121868,0.079427,0.169134,0.231562,0.410955,0.242321,0.140198,0.205504,0.295951,0.081468,0.146464,0.305751,0.203075,0.303866,0.131122,0.150876,0.174447,0.248407,0.118081,0.107221,0.260294,0.075388,0.110272,0.269045,0.196468,0.276902,0.080512,0.069538,0.154597,0.063948,0.094044,0.074389,0.097793,0.247399
CUSTOMER.RNPOJG,0.340970,0.316632,0.091477,0.103313,0.139812,0.121517,0.066016,0.167103,0.232662,0.433134,0.228991,0.152396,0.123752,0.375426,0.096829,0.166024,0.330664,0.160077,0.251485,0.129977,0.167648,0.257506,0.204774,0.030243,0.085952,0.297051,0.068838,0.121103,0.276278,0.178850,0.284843,0.112647,0.079587,0.160566,0.065385,0.103103,0.034547,0.112182,0.253237
CUSTOMER.FQIVBKWIZC,0.341719,0.317722,0.080860,0.105174,0.134807,0.114604,0.075901,0.173409,0.230227,0.411976,0.226396,0.144120,0.118568,0.373799,0.102811,0.167622,0.338890,0.162890,0.247054,0.127608,0.178322,0.266056,0.197515,0.026022,0.090858,0.294153,0.063710,0.111696,0.285074,0.194815,0.274990,0.109385,0.073318,0.146782,0.062151,0.118740,0.024583,0.120251,0.267741
CUSTOMER.1287944454 Dell Way,0.241077,0.237245,0.089502,0.109420,0.146298,0.109933,0.036556,0.157351,0.192958,0.373467,0.187950,0.150329,0.096450,0.298247,0.071703,0.163560,0.307507,0.149747,0.231458,0.114419,0.148936,0.203567,0.168981,0.013088,0.061704,0.285494,0.040939,0.094224,0.271794,0.151785,0.218555,0.084590,0.102973,0.100358,0.065804,0.084016,0.032728,0.068168,0.203064
CUSTOMER.XCXNWIS,0.328930,0.327250,0.086562,0.101100,0.127004,0.104102,0.056162,0.165093,0.219575,0.405143,0.214775,0.138665,0.107204,0.364573,0.087329,0.168753,0.339536,0.157675,0.241686,0.129472,0.173483,0.263918,0.201380,0.035278,0.093419,0.279196,0.061161,0.110647,0.288563,0.187507,0.296872,0.115405,0.075594,0.141467,0.068127,0.114886,0.034552,0.109556,0.244336
