,customer.c_custkey,customer.c_name,customer.c_address,customer.c_nationkey,customer.c_phone,customer.c_acctbal,customer.c_mktsegment,customer.c_comment,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_suppkey,lineitem.l_linenumber,lineitem.l_quantity,lineitem.l_extendedprice,lineitem.l_discount,lineitem.l_tax,lineitem.l_returnflag,lineitem.l_linestatus,lineitem.l_shipdate,lineitem.l_commitdate,lineitem.l_receiptdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_comment,nation.n_nationkey,nation.n_name,nation.n_regionkey,nation.n_comment,orders.o_orderkey,orders.o_custkey,orders.o_orderstatus,orders.o_totalprice,orders.o_orderdate,orders.o_orderpriority,orders.o_clerk,orders.o_shippriority,orders.o_comment,part.p_partkey,part.p_name,part.p_mfgr,part.p_brand,part.p_type,part.p_size,part.p_container,part.p_retailprice,part.p_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_availqty,partsupp.ps_supplycost,partsupp.ps_comment,region.r_regionkey,region.r_name,region.r_comment,supplier.s_suppkey,supplier.s_name,supplier.s_address,supplier.s_nationkey,supplier.s_phone,supplier.s_acctbal,supplier.s_comment
part.p_brand,0.111111,0.285714,0.222222,0.181818,0.285714,0.111111,0.166667,0.222222,0.200000,0.222222,0.111111,0.166667,0.300000,0.200000,0.200000,0.285714,0.166667,0.166667,0.200000,0.166667,0.153846,0.142857,0.200000,0.222222,0.181818,0.285714,0.181818,0.222222,0.200000,0.111111,0.230769,0.166667,0.272727,0.133333,0.142857,0.142857,0.222222,0.333333,0.428571,0.285714,1.000000,0.285714,0.285714,0.363636,0.230769,0.333333,0.300000,0.200000,0.272727,0.153846,0.300000,0.181818,0.285714,0.222222,0.111111,0.285714,0.222222,0.181818,0.285714,0.111111,0.222222
part.p_type,0.222222,0.333333,0.222222,0.272727,0.285714,0.222222,0.250000,0.222222,0.200000,0.222222,0.333333,0.166667,0.200000,0.266667,0.100000,0.333333,0.166667,0.166667,0.300000,0.250000,0.230769,0.142857,0.300000,0.222222,0.272727,0.333333,0.181818,0.222222,0.200000,0.222222,0.153846,0.333333,0.181818,0.133333,0.142857,0.142857,0.222222,0.333333,0.500000,0.333333,0.285714,1.000000,0.500000,0.363636,0.384615,0.333333,0.300000,0.400000,0.181818,0.230769,0.300000,0.181818,0.333333,0.222222,0.333333,0.333333,0.222222,0.272727,0.285714,0.222222,0.222222
part.p_size,0.333333,0.333333,0.222222,0.272727,0.285714,0.111111,0.250000,0.222222,0.200000,0.222222,0.333333,0.250000,0.200000,0.200000,0.200000,0.166667,0.083333,0.250000,0.400000,0.250000,0.230769,0.214286,0.400000,0.222222,0.272727,0.333333,0.272727,0.222222,0.200000,0.333333,0.153846,0.250000,0.181818,0.133333,0.142857,0.214286,0.222222,0.333333,0.500000,0.333333,0.285714,0.500000,1.000000,0.363636,0.307692,0.333333,0.300000,0.400000,0.272727,0.230769,0.300000,0.272727,0.333333,0.222222,0.333333,0.333333,0.222222,0.272727,0.285714,0.111111,0.222222
part.p_container,0.363636,0.363636,0.090909,0.272727,0.272727,0.181818,0.166667,0.363636,0.272727,0.272727,0.181818,0.333333,0.272727,0.200000,0.181818,0.272727,0.166667,0.250000,0.181818,0.333333,0.230769,0.214286,0.181818,0.363636,0.272727,0.363636,0.181818,0.363636,0.272727,0.363636,0.153846,0.333333,0.090909,0.133333,0.272727,0.142857,0.363636,0.363636,0.454545,0.272727,0.363636,0.363636,0.363636,1.000000,0.384615,0.454545,0.272727,0.181818,0.181818,0.153846,0.363636,0.181818,0.363636,0.363636,0.181818,0.363636,0.090909,0.272727,0.272727,0.181818,0.363636
part.p_retailprice,0.076923,0.230769,0.230769,0.230769,0.230769,0.153846,0.153846,0.076923,0.153846,0.230769,0.153846,0.076923,0.230769,0.466667,0.153846,0.230769,0.307692,0.076923,0.307692,0.230769,0.384615,0.285714,0.307692,0.076923,0.230769,0.230769,0.307692,0.076923,0.153846,0.076923,0.076923,0.692308,0.153846,0.333333,0.230769,0.214286,0.076923,0.307692,0.307692,0.230769,0.230769,0.384615,0.307692,0.384615,1.000000,0.153846,0.230769,0.153846,0.307692,0.153846,0.076923,0.307692,0.230769,0.076923,0.153846,0.230769,0.230769,0.230769,0.230769,0.153846,0.076923
part.p_comment,0.222222,0.333333,0.222222,0.181818,0.222222,0.111111,0.416667,0.888889,0.200000,0.111111,0.111111,0.166667,0.200000,0.133333,0.300000,0.111111,0.166667,0.166667,0.200000,0.500000,0.230769,0.214286,0.200000,0.888889,0.181818,0.333333,0.181818,0.888889,0.200000,0.222222,0.230769,0.166667,0.272727,0.200000,0.333333,0.142857,0.888889,0.222222,0.444444,0.333333,0.333333,0.333333,0.333333,0.454545,0.153846,1.000000,0.200000,0.200000,0.272727,0.230769,0.900000,0.181818,0.333333,0.888889,0.111111,0.333333,0.222222,0.181818,0.222222,0.111111,0.888889
partsupp.ps_partkey,0.500000,0.300000,0.200000,0.363636,0.300000,0.200000,0.083333,0.100000,0.300000,0.800000,0.400000,0.083333,0.300000,0.066667,0.000000,0.200000,0.083333,0.083333,0.200000,0.083333,0.076923,0.214286,0.100000,0.100000,0.363636,0.300000,0.272727,0.100000,0.300000,0.500000,0.153846,0.166667,0.090909,0.133333,0.200000,0.285714,0.100000,0.900000,0.400000,0.200000,0.300000,0.300000,0.300000,0.272727,0.230769,0.200000,1.000000,0.600000,0.454545,0.307692,0.300000,0.272727,0.300000,0.100000,0.500000,0.400000,0.300000,0.454545,0.400000,0.300000,0.200000
partsupp.ps_suppkey,0.500000,0.200000,0.100000,0.272727,0.200000,0.100000,0.083333,0.100000,0.300000,0.400000,0.800000,0.083333,0.200000,0.066667,0.000000,0.100000,0.083333,0.000000,0.200000,0.000000,0.076923,0.142857,0.200000,0.100000,0.272727,0.200000,0.272727,0.100000,0.300000,0.500000,0.000000,0.083333,0.000000,0.133333,0.200000,0.285714,0.100000,0.500000,0.300000,0.200000,0.200000,0.400000,0.400000,0.181818,0.153846,0.200000,0.600000,1.000000,0.363636,0.538462,0.300000,0.272727,0.200000,0.100000,0.900000,0.300000,0.200000,0.363636,0.300000,0.200000,0.200000
partsupp.ps_availqty,0.181818,0.181818,0.181818,0.181818,0.090909,0.181818,0.000000,0.181818,0.181818,0.272727,0.181818,0.000000,0.363636,0.000000,0.090909,0.181818,0.000000,0.083333,0.181818,0.166667,0.153846,0.142857,0.090909,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.076923,0.083333,0.090909,0.200000,0.181818,0.285714,0.181818,0.363636,0.272727,0.181818,0.272727,0.181818,0.272727,0.181818,0.307692,0.272727,0.454545,0.363636,1.000000,0.307692,0.363636,0.181818,0.181818,0.181818,0.272727,0.272727,0.272727,0.272727,0.181818,0.272727,0.272727
partsupp.ps_supplycost,0.153846,0.076923,0.153846,0.076923,0.230769,0.076923,0.153846,0.153846,0.076923,0.153846,0.384615,0.076923,0.153846,0.000000,0.230769,0.076923,0.076923,0.076923,0.230769,0.076923,0.076923,0.214286,0.307692,0.153846,0.076923,0.076923,0.076923,0.153846,0.076923,0.153846,0.000000,0.153846,0.076923,0.133333,0.153846,0.285714,0.153846,0.230769,0.153846,0.153846,0.153846,0.230769,0.230769,0.153846,0.153846,0.230769,0.307692,0.538462,0.307692,1.000000,0.307692,0.076923,0.076923,0.153846,0.461538,0.153846,0.230769,0.153846,0.307692,0.153846,0.230769
partsupp.ps_comment,0.200000,0.300000,0.200000,0.090909,0.200000,0.100000,0.333333,0.800000,0.100000,0.100000,0.100000,0.083333,0.100000,0.066667,0.200000,0.100000,0.083333,0.083333,0.100000,0.416667,0.153846,0.142857,0.100000,0.800000,0.090909,0.300000,0.090909,0.800000,0.100000,0.200000,0.153846,0.083333,0.181818,0.133333,0.300000,0.142857,0.800000,0.200000,0.400000,0.300000,0.300000,0.300000,0.300000,0.363636,0.076923,0.900000,0.300000,0.300000,0.363636,0.307692,1.000000,0.090909,0.300000,0.800000,0.200000,0.400000,0.300000,0.181818,0.300000,0.200000,0.900000
region.r_regionkey,0.363636,0.181818,0.090909,0.636364,0.363636,0.090909,0.166667,0.181818,0.363636,0.363636,0.363636,0.166667,0.181818,0.200000,0.181818,0.090909,0.333333,0.083333,0.181818,0.166667,0.307692,0.142857,0.181818,0.181818,0.636364,0.181818,0.909091,0.181818,0.363636,0.363636,0.230769,0.083333,0.181818,0.400000,0.181818,0.285714,0.181818,0.363636,0.181818,0.181818,0.181818,0.181818,0.272727,0.181818,0.307692,0.181818,0.272727,0.272727,0.181818,0.076923,0.090909,1.000000,0.272727,0.272727,0.363636,0.181818,0.090909,0.636364,0.363636,0.090909,0.181818
region.r_name,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.250000,0.333333,0.200000,0.333333,0.222222,0.333333,0.200000,0.200000,0.100000,0.333333,0.166667,0.250000,0.300000,0.250000,0.230769,0.142857,0.300000,0.333333,0.363636,0.833333,0.181818,0.333333,0.200000,0.222222,0.153846,0.250000,0.272727,0.133333,0.142857,0.071429,0.333333,0.333333,0.833333,0.166667,0.285714,0.333333,0.333333,0.363636,0.230769,0.333333,0.300000,0.200000,0.181818,0.076923,0.300000,0.272727,1.000000,0.444444,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.333333
region.r_comment,0.222222,0.333333,0.222222,0.181818,0.222222,0.111111,0.416667,0.888889,0.200000,0.111111,0.111111,0.166667,0.200000,0.133333,0.300000,0.111111,0.166667,0.166667,0.200000,0.500000,0.230769,0.214286,0.200000,0.888889,0.181818,0.333333,0.181818,0.888889,0.200000,0.222222,0.230769,0.166667,0.272727,0.200000,0.333333,0.142857,0.888889,0.111111,0.333333,0.222222,0.222222,0.222222,0.222222,0.363636,0.076923,0.888889,0.100000,0.100000,0.181818,0.153846,0.800000,0.272727,0.444444,1.000000,0.111111,0.333333,0.222222,0.181818,0.222222,0.111111,0.888889
supplier.s_suppkey,0.555556,0.222222,0.111111,0.363636,0.222222,0.111111,0.166667,0.111111,0.400000,0.444444,0.888889,0.166667,0.300000,0.133333,0.100000,0.111111,0.166667,0.083333,0.300000,0.083333,0.153846,0.214286,0.300000,0.111111,0.363636,0.222222,0.363636,0.111111,0.400000,0.555556,0.076923,0.166667,0.090909,0.200000,0.222222,0.357143,0.111111,0.444444,0.222222,0.111111,0.111111,0.333333,0.333333,0.181818,0.153846,0.111111,0.500000,0.900000,0.272727,0.461538,0.200000,0.363636,0.222222,0.111111,1.000000,0.333333,0.222222,0.454545,0.333333,0.222222,0.222222
supplier.s_name,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.250000,0.333333,0.200000,0.333333,0.222222,0.333333,0.200000,0.200000,0.100000,0.333333,0.166667,0.250000,0.300000,0.250000,0.230769,0.142857,0.300000,0.333333,0.363636,0.833333,0.181818,0.333333,0.200000,0.222222,0.153846,0.250000,0.272727,0.133333,0.142857,0.071429,0.333333,0.333333,0.833333,0.166667,0.285714,0.333333,0.333333,0.363636,0.230769,0.333333,0.400000,0.300000,0.272727,0.153846,0.400000,0.181818,0.833333,0.333333,0.333333,1.000000,0.333333,0.454545,0.428571,0.222222,0.444444
supplier.s_address,0.111111,0.222222,0.888889,0.181818,0.222222,0.222222,0.166667,0.222222,0.300000,0.222222,0.111111,0.083333,0.100000,0.266667,0.100000,0.111111,0.166667,0.250000,0.100000,0.083333,0.076923,0.142857,0.100000,0.222222,0.181818,0.222222,0.090909,0.222222,0.300000,0.111111,0.307692,0.250000,0.272727,0.200000,0.222222,0.142857,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.090909,0.230769,0.222222,0.300000,0.200000,0.272727,0.230769,0.300000,0.090909,0.222222,0.222222,0.222222,0.333333,1.000000,0.272727,0.333333,0.333333,0.333333
supplier.s_nationkey,0.363636,0.363636,0.181818,0.909091,0.363636,0.181818,0.250000,0.181818,0.363636,0.454545,0.363636,0.166667,0.272727,0.200000,0.181818,0.181818,0.250000,0.083333,0.181818,0.166667,0.153846,0.142857,0.181818,0.181818,0.909091,0.363636,0.636364,0.181818,0.363636,0.363636,0.076923,0.166667,0.090909,0.266667,0.181818,0.285714,0.181818,0.454545,0.363636,0.090909,0.181818,0.272727,0.272727,0.272727,0.230769,0.181818,0.454545,0.363636,0.272727,0.153846,0.181818,0.636364,0.363636,0.181818,0.454545,0.454545,0.272727,1.000000,0.454545,0.272727,0.272727
supplier.s_phone,0.222222,0.285714,0.222222,0.363636,0.857143,0.111111,0.166667,0.222222,0.200000,0.333333,0.222222,0.250000,0.200000,0.200000,0.300000,0.142857,0.166667,0.166667,0.300000,0.166667,0.230769,0.214286,0.400000,0.222222,0.363636,0.285714,0.363636,0.222222,0.200000,0.222222,0.076923,0.250000,0.181818,0.200000,0.142857,0.214286,0.222222,0.333333,0.285714,0.142857,0.285714,0.285714,0.285714,0.272727,0.230769,0.222222,0.400000,0.300000,0.181818,0.307692,0.300000,0.363636,0.285714,0.222222,0.333333,0.428571,0.333333,0.454545,1.000000,0.222222,0.333333
supplier.s_acctbal,0.222222,0.111111,0.222222,0.181818,0.111111,0.888889,0.083333,0.111111,0.100000,0.222222,0.111111,0.166667,0.200000,0.066667,0.200000,0.333333,0.166667,0.166667,0.200000,0.250000,0.307692,0.142857,0.100000,0.111111,0.181818,0.111111,0.090909,0.111111,0.100000,0.222222,0.153846,0.166667,0.181818,0.066667,0.222222,0.071429,0.111111,0.222222,0.111111,0.111111,0.111111,0.222222,0.111111,0.181818,0.153846,0.111111,0.300000,0.200000,0.272727,0.153846,0.200000,0.090909,0.111111,0.111111,0.222222,0.222222,0.333333,0.272727,0.222222,1.000000,0.222222
supplier.s_comment,0.222222,0.333333,0.222222,0.181818,0.222222,0.111111,0.416667,0.888889,0.200000,0.111111,0.111111,0.166667,0.200000,0.133333,0.300000,0.111111,0.166667,0.166667,0.200000,0.500000,0.230769,0.214286,0.200000,0.888889,0.181818,0.333333,0.181818,0.888889,0.200000,0.222222,0.230769,0.166667,0.272727,0.200000,0.333333,0.142857,0.888889,0.111111,0.333333,0.222222,0.222222,0.222222,0.222222,0.363636,0.076923,0.888889,0.200000,0.200000,0.272727,0.230769,0.900000,0.181818,0.333333,0.888889,0.222222,0.444444,0.333333,0.272727,0.333333,0.222222,1.000000
