,customer.c_custkey,customer.c_name,customer.c_address,customer.c_nationkey,customer.c_phone,customer.c_acctbal,customer.c_mktsegment,customer.c_comment,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_suppkey,lineitem.l_linenumber,lineitem.l_quantity,lineitem.l_extendedprice,lineitem.l_discount,lineitem.l_tax,lineitem.l_returnflag,lineitem.l_linestatus,lineitem.l_shipdate,lineitem.l_commitdate,lineitem.l_receiptdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_comment,nation.n_nationkey,nation.n_name,nation.n_regionkey,nation.n_comment,orders.o_orderkey,orders.o_custkey,orders.o_orderstatus,orders.o_totalprice,orders.o_orderdate,orders.o_orderpriority,orders.o_clerk,orders.o_shippriority,orders.o_comment,part.p_partkey,part.p_name,part.p_mfgr,part.p_brand,part.p_type,part.p_size,part.p_container,part.p_retailprice,part.p_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_availqty,partsupp.ps_supplycost,partsupp.ps_comment,region.r_regionkey,region.r_name,region.r_comment,supplier.s_suppkey,supplier.s_name,supplier.s_address,supplier.s_nationkey,supplier.s_phone,supplier.s_acctbal,supplier.s_comment
part.p_brand,0.286150,0.069904,0.111738,0.321025,0.048933,0.377461,0.008560,0.507096,0.286150,0.326570,0.289704,0.286150,0.300383,0.528770,0.267592,0.275829,0.538579,0.905605,0.013981,0.013981,0.013981,0.289281,0.034976,0.152898,0.297428,0.022654,0.297428,0.573825,0.286150,0.272512,0.538579,1.626419,0.013981,0.041587,0.048933,1.679974,0.365545,0.286150,0.196088,0.041942,0.000000,0.093085,0.264730,0.015595,0.413511,0.060465,0.286150,0.353404,0.248150,0.278536,1.043517,0.297428,0.034161,0.569463,0.286150,0.069904,0.147222,0.269849,0.048933,0.222371,0.273500
part.p_type,0.202778,0.023182,0.071921,0.237653,0.044153,0.294089,0.084525,0.414011,0.202778,0.243198,0.206333,0.202778,0.217011,0.445398,0.184220,0.192457,0.631664,0.998691,0.079105,0.079105,0.079105,0.318795,0.110805,0.059812,0.214056,0.097224,0.214056,0.480740,0.202778,0.189141,0.631664,1.543047,0.079105,0.091534,0.044153,1.773059,0.272460,0.202778,0.103002,0.051143,0.093085,0.000000,0.181358,0.092360,0.330139,0.033593,0.202778,0.270032,0.164778,0.195164,0.950432,0.214056,0.097237,0.476378,0.202778,0.023182,0.061164,0.186478,0.044153,0.138999,0.180414
part.p_size,0.036806,0.204540,0.180525,0.056295,0.215797,0.201965,0.256169,0.517179,0.036806,0.080375,0.041507,0.036806,0.051305,0.437016,0.002863,0.011100,0.701472,1.068498,0.250749,0.250749,0.250749,0.350632,0.282449,0.177504,0.032698,0.268868,0.032698,0.583908,0.036806,0.044663,0.701472,1.534665,0.250749,0.244224,0.215797,1.842867,0.375628,0.036806,0.226358,0.222787,0.264730,0.181358,0.000000,0.264004,0.185589,0.204265,0.036806,0.089375,0.129539,0.045067,1.053600,0.032698,0.263572,0.579546,0.036806,0.204540,0.157305,0.005120,0.215797,0.050890,0.283583
part.p_container,0.285425,0.082625,0.111012,0.320299,0.061654,0.376735,0.013989,0.506371,0.285425,0.325844,0.288979,0.285425,0.299657,0.528044,0.266867,0.275104,0.539304,0.906331,0.026702,0.026702,0.026702,0.274502,0.022255,0.152172,0.296703,0.007058,0.296703,0.573100,0.285425,0.271787,0.539304,1.625693,0.026702,0.026807,0.061654,1.680699,0.364820,0.285425,0.195362,0.054663,0.015595,0.092360,0.264004,0.000000,0.412786,0.059740,0.285425,0.352678,0.247425,0.277811,1.042792,0.296703,0.018565,0.568738,0.285425,0.082625,0.146497,0.269124,0.061654,0.221646,0.272774
part.p_retailprice,0.148875,0.353321,0.329307,0.241850,0.364578,0.378329,0.404951,0.665961,0.148875,0.259768,0.144438,0.148875,0.134337,0.544154,0.188340,0.196577,0.850253,1.217279,0.399530,0.399530,0.399530,0.499414,0.431230,0.326286,0.218176,0.417650,0.218176,0.732690,0.148875,0.149643,0.850253,1.677687,0.399530,0.393006,0.364578,1.991648,0.524410,0.148875,0.375139,0.371569,0.413511,0.330139,0.185589,0.412786,0.000000,0.353046,0.148875,0.274673,0.185192,0.145575,1.202382,0.218176,0.412354,0.728328,0.148875,0.353321,0.306087,0.190685,0.364578,0.209683,0.432364
part.p_comment,0.225685,0.034671,0.065327,0.260560,0.025587,0.316996,0.051905,0.446631,0.225685,0.266105,0.229239,0.225685,0.239918,0.468305,0.207127,0.215364,0.599044,0.966070,0.046484,0.046484,0.046484,0.285202,0.078184,0.092433,0.236963,0.064604,0.236963,0.513360,0.225685,0.212047,0.599044,1.565954,0.046484,0.057941,0.025587,1.740439,0.305080,0.225685,0.135623,0.025550,0.060465,0.033593,0.204265,0.059740,0.353046,0.000000,0.225685,0.292939,0.187685,0.218071,0.983052,0.236963,0.063644,0.508998,0.225685,0.034671,0.086757,0.209384,0.025587,0.161906,0.213035
partsupp.ps_partkey,0.000000,0.225960,0.201946,0.093027,0.237217,0.238771,0.277590,0.538600,0.000000,0.117181,0.004905,0.000000,0.014703,0.416793,0.039465,0.047702,0.722892,1.089918,0.272169,0.272169,0.272169,0.372053,0.303869,0.198925,0.069301,0.290289,0.069301,0.605329,0.000000,0.013638,0.722892,1.550326,0.272169,0.265645,0.237217,1.864287,0.397049,0.000000,0.247778,0.244208,0.286150,0.202778,0.036806,0.285425,0.148875,0.225685,0.000000,0.126181,0.092936,0.008465,1.075021,0.069301,0.284993,0.600967,0.000000,0.225960,0.178726,0.041882,0.237217,0.068237,0.305003
partsupp.ps_suppkey,0.126181,0.293214,0.269200,0.033154,0.304471,0.112590,0.344843,0.605853,0.126181,0.026834,0.130234,0.126181,0.140508,0.525690,0.086789,0.078552,0.790146,1.157172,0.339423,0.339423,0.339423,0.439306,0.371123,0.266178,0.056904,0.357542,0.056904,0.672583,0.126181,0.133337,0.790146,1.623339,0.339423,0.332898,0.304471,1.931541,0.464302,0.126181,0.315032,0.311461,0.353404,0.270032,0.089375,0.352678,0.274673,0.292939,0.126181,0.000000,0.218213,0.133741,1.142274,0.056904,0.352247,0.668220,0.126181,0.293214,0.245980,0.084299,0.304471,0.139579,0.372257
partsupp.ps_availqty,0.092936,0.187960,0.163946,0.185834,0.199217,0.252493,0.239590,0.500600,0.092936,0.191379,0.088031,0.092936,0.078234,0.358962,0.132401,0.140638,0.684892,1.051918,0.234169,0.234169,0.234169,0.334053,0.265869,0.160925,0.162237,0.252289,0.162237,0.567329,0.092936,0.084876,0.684892,1.492495,0.234169,0.227645,0.199217,1.826287,0.359049,0.092936,0.209778,0.206208,0.248150,0.164778,0.129539,0.247425,0.185192,0.187685,0.092936,0.218213,0.000000,0.084472,1.037021,0.162237,0.246993,0.562967,0.092936,0.187960,0.140726,0.134659,0.199217,0.084822,0.267003
partsupp.ps_supplycost,0.008465,0.218346,0.194332,0.101362,0.229603,0.234529,0.269976,0.530986,0.008465,0.114498,0.011168,0.008465,0.021847,0.409179,0.047930,0.056167,0.715278,1.082305,0.264555,0.264555,0.264555,0.364439,0.296255,0.191311,0.077766,0.282675,0.077766,0.597715,0.008465,0.006024,0.715278,1.542712,0.264555,0.258031,0.229603,1.856673,0.389435,0.008465,0.240164,0.236594,0.278536,0.195164,0.045067,0.277811,0.145575,0.218071,0.008465,0.133741,0.084472,0.000000,1.067407,0.077766,0.277379,0.593353,0.008465,0.218346,0.171112,0.050187,0.229603,0.065883,0.297390
partsupp.ps_comment,1.075021,0.973614,0.931780,1.109895,0.994585,1.166331,1.034957,0.536421,1.075021,1.115440,1.078575,1.075021,1.089253,1.317641,1.056463,1.064700,1.582096,1.949122,1.029537,1.029537,1.029537,1.231256,1.061236,0.890619,1.086299,1.047656,1.086299,0.469692,1.075021,1.061383,1.582096,2.415289,1.029537,1.023012,0.994585,2.723491,0.677972,1.075021,0.847430,1.001575,1.043517,0.950432,1.053600,1.042792,1.202382,0.983052,1.075021,1.142274,1.037021,1.067407,0.000000,1.086299,1.042360,0.474054,1.075021,0.973614,0.896295,1.058720,0.994585,1.011242,0.770017
region.r_regionkey,0.069301,0.237238,0.213224,0.023749,0.248495,0.169494,0.288868,0.549878,0.069301,0.047904,0.074206,0.069301,0.084004,0.469715,0.029885,0.021649,0.734170,1.101196,0.283447,0.283447,0.283447,0.383331,0.315147,0.210203,0.000000,0.301567,0.000000,0.616607,0.069301,0.077362,0.734170,1.567363,0.283447,0.276923,0.248495,1.875565,0.408327,0.069301,0.259056,0.255486,0.297428,0.214056,0.032698,0.296703,0.218176,0.236963,0.069301,0.056904,0.162237,0.077766,1.086299,0.000000,0.296271,0.612245,0.069301,0.237238,0.190004,0.027579,0.248495,0.083572,0.316281
region.r_name,0.284993,0.095441,0.110580,0.319868,0.074470,0.376304,0.029680,0.505939,0.284993,0.325413,0.288547,0.284993,0.299226,0.527613,0.266435,0.274672,0.539736,0.906762,0.042393,0.042393,0.042393,0.260016,0.018876,0.151741,0.296271,0.012323,0.296271,0.572668,0.284993,0.271355,0.539736,1.625261,0.042393,0.019348,0.074470,1.681131,0.364388,0.284993,0.194930,0.067480,0.034161,0.097237,0.263572,0.018565,0.412354,0.063644,0.284993,0.352247,0.246993,0.277379,1.042360,0.296271,0.000000,0.568306,0.284993,0.095441,0.146065,0.268692,0.074470,0.221214,0.272343
region.r_comment,0.600967,0.499559,0.457725,0.635841,0.520530,0.692277,0.560903,0.188854,0.600967,0.641386,0.604521,0.600967,0.615199,0.843586,0.582409,0.590646,1.108042,1.475068,0.555482,0.555482,0.555482,0.757202,0.587182,0.416565,0.612245,0.573602,0.612245,0.221029,0.600967,0.587329,1.108042,1.941235,0.555482,0.548958,0.520530,2.249437,0.224999,0.600967,0.373375,0.527521,0.569463,0.476378,0.579546,0.568738,0.728328,0.508998,0.600967,0.668220,0.562967,0.593353,0.474054,0.612245,0.568306,0.000000,0.600967,0.499559,0.422241,0.584666,0.520530,0.537188,0.295963
supplier.s_suppkey,0.000000,0.225960,0.201946,0.093027,0.237217,0.238771,0.277590,0.538600,0.000000,0.117181,0.004905,0.000000,0.014703,0.416793,0.039465,0.047702,0.722892,1.089918,0.272169,0.272169,0.272169,0.372053,0.303869,0.198925,0.069301,0.290289,0.069301,0.605329,0.000000,0.013638,0.722892,1.550326,0.272169,0.265645,0.237217,1.864287,0.397049,0.000000,0.247778,0.244208,0.286150,0.202778,0.036806,0.285425,0.148875,0.225685,0.000000,0.126181,0.092936,0.008465,1.075021,0.069301,0.284993,0.600967,0.000000,0.225960,0.178726,0.041882,0.237217,0.068237,0.305003
supplier.s_name,0.225960,0.000000,0.091023,0.260835,0.020971,0.317271,0.068636,0.437192,0.225960,0.266380,0.229515,0.225960,0.240193,0.468580,0.207402,0.215639,0.608482,0.975509,0.055923,0.055923,0.055923,0.316999,0.104880,0.082994,0.237238,0.089683,0.237238,0.503922,0.225960,0.212322,0.608482,1.566229,0.055923,0.089738,0.020971,1.749877,0.295641,0.225960,0.126184,0.027961,0.069904,0.023182,0.204540,0.082625,0.353321,0.034671,0.225960,0.293214,0.187960,0.218346,0.973614,0.237238,0.095441,0.499559,0.225960,0.000000,0.084346,0.209660,0.020971,0.162181,0.203596
supplier.s_address,0.178726,0.084346,0.047973,0.213601,0.098290,0.270037,0.138662,0.359874,0.178726,0.219146,0.182280,0.178726,0.192959,0.421346,0.160168,0.168405,0.685801,1.052827,0.133242,0.133242,0.133242,0.334962,0.164942,0.038119,0.190004,0.151361,0.190004,0.426603,0.178726,0.165088,0.685801,1.518994,0.133242,0.126717,0.098290,1.827196,0.218323,0.178726,0.084098,0.105280,0.147222,0.061164,0.157305,0.146497,0.306087,0.086757,0.178726,0.245980,0.140726,0.171112,0.896295,0.190004,0.146065,0.422241,0.178726,0.084346,0.000000,0.162425,0.098290,0.114947,0.126278
supplier.s_nationkey,0.041882,0.209660,0.185645,0.051175,0.220917,0.196889,0.261289,0.522299,0.041882,0.075299,0.046627,0.041882,0.056425,0.442136,0.002490,0.005980,0.706591,1.073618,0.255869,0.255869,0.255869,0.355752,0.287569,0.182624,0.027579,0.273988,0.027579,0.589028,0.041882,0.049783,0.706591,1.539785,0.255869,0.249344,0.220917,1.847986,0.380748,0.041882,0.231478,0.227907,0.269849,0.186478,0.005120,0.269124,0.190685,0.209384,0.041882,0.084299,0.134659,0.050187,1.058720,0.027579,0.268692,0.584666,0.041882,0.209660,0.162425,0.000000,0.220917,0.056009,0.288703
supplier.s_phone,0.237217,0.020971,0.090913,0.272092,0.000000,0.328528,0.047665,0.458163,0.237217,0.277637,0.240772,0.237217,0.251450,0.479837,0.218659,0.226896,0.587511,0.954538,0.034952,0.034952,0.034952,0.301776,0.083909,0.103965,0.248495,0.068712,0.248495,0.524893,0.237217,0.223580,0.587511,1.577486,0.034952,0.068767,0.000000,1.728906,0.316612,0.237217,0.147155,0.006990,0.048933,0.044153,0.215797,0.061654,0.364578,0.025587,0.237217,0.304471,0.199217,0.229603,0.994585,0.248495,0.074470,0.520530,0.237217,0.020971,0.098290,0.220917,0.000000,0.173438,0.224567
supplier.s_acctbal,0.068237,0.162181,0.138167,0.107185,0.173438,0.181708,0.213811,0.474821,0.068237,0.113058,0.072135,0.068237,0.082579,0.390585,0.053736,0.061973,0.659113,1.026140,0.208390,0.208390,0.208390,0.308274,0.240090,0.135146,0.083572,0.226510,0.083572,0.541550,0.068237,0.060374,0.659113,1.488233,0.208390,0.201866,0.173438,1.800508,0.333270,0.068237,0.183999,0.180429,0.222371,0.138999,0.050890,0.221646,0.209683,0.161906,0.068237,0.139579,0.084822,0.065883,1.011242,0.083572,0.221214,0.537188,0.068237,0.162181,0.114947,0.056009,0.173438,0.000000,0.241225
supplier.s_comment,0.305003,0.203596,0.161762,0.339878,0.224567,0.396314,0.264940,0.233596,0.305003,0.345423,0.308558,0.305003,0.319236,0.547623,0.286446,0.294683,0.812079,1.179105,0.259519,0.259519,0.259519,0.461239,0.291219,0.120602,0.316281,0.277639,0.316281,0.300325,0.305003,0.291366,0.812079,1.645272,0.259519,0.252995,0.224567,1.953474,0.092045,0.305003,0.105521,0.231558,0.273500,0.180414,0.283583,0.272774,0.432364,0.213035,0.305003,0.372257,0.267003,0.297390,0.770017,0.316281,0.272343,0.295963,0.305003,0.203596,0.126278,0.288703,0.224567,0.241225,0.000000
