table_i,table_j,n_cols_i,n_cols_j,n_cross_pairs,n_matches,raw_sim,M_max,CR,Sim_T,norm_changed
DeliveryMethods,InvoiceLines,5,13,65,5,0.457151,5,1.0,0.457151,False
Cities,StockItemTransactions,8,11,88,8,0.456017,8,1.0,0.456017,False
OrderLines,StateProvinces,12,10,120,10,0.455799,10,1.0,0.455799,False
StockItemHoldings,SupplierCategories,9,5,45,5,0.455155,5,1.0,0.455155,False
StockItems,SupplierTransactions,25,15,375,15,0.454301,15,1.0,0.454301,False
Colors,PurchaseOrderLines,5,12,60,5,0.453294,5,1.0,0.453294,False
SpecialDeals,Suppliers,14,29,406,14,0.453147,14,1.0,0.453147,False
InvoiceLines,Suppliers,13,29,377,13,0.452999,13,1.0,0.452999,False
BuyingGroups,StockItemTransactions,5,11,55,5,0.451604,5,1.0,0.451604,False
Invoices,VehicleTemperatures,25,8,200,8,0.451558,8,1.0,0.451558,False
SpecialDeals,StateProvinces,14,10,140,10,0.451333,10,1.0,0.451333,False
Customers,InvoiceLines,31,13,403,13,0.451135,13,1.0,0.451135,False
DeliveryMethods,StockItemTransactions,5,11,55,5,0.449599,5,1.0,0.449599,False
BuyingGroups,PurchaseOrderLines,5,12,60,5,0.449077,5,1.0,0.449077,False
Orders,StateProvinces,16,10,160,10,0.448689,10,1.0,0.448689,False
DeliveryMethods,StockItemHoldings,5,9,45,5,0.448589,5,1.0,0.448589,False
Colors,StockItemStockGroups,5,5,25,5,0.445318,5,1.0,0.445318,False
InvoiceLines,SystemParameters,13,13,169,13,0.444642,13,1.0,0.444642,False
BuyingGroups,StockItemHoldings,5,9,45,5,0.443807,5,1.0,0.443807,False
Orders,People,16,21,336,16,0.443735,16,1.0,0.443735,False
StockItemTransactions,SystemParameters,11,13,143,11,0.443611,11,1.0,0.443611,False
Cities,PurchaseOrders,8,12,96,8,0.442441,8,1.0,0.442441,False
CustomerTransactions,StockItems,14,25,350,14,0.441688,14,1.0,0.441688,False
PackageTypes,StockItemStockGroups,5,5,25,5,0.440962,5,1.0,0.440962,False
CustomerTransactions,SystemParameters,14,13,182,13,0.440849,13,1.0,0.440849,False
CustomerCategories,StockItemStockGroups,5,5,25,5,0.439953,5,1.0,0.439953,False
SpecialDeals,SystemParameters,14,13,182,13,0.438581,13,1.0,0.438581,False
InvoiceLines,StateProvinces,13,10,130,10,0.437948,10,1.0,0.437948,False
SupplierTransactions,SystemParameters,15,13,195,13,0.437883,13,1.0,0.437883,False
PurchaseOrderLines,StateProvinces,12,10,120,10,0.434851,10,1.0,0.434851,False
Invoices,StockItems,25,25,625,25,0.434014,25,1.0,0.434014,False
StateProvinces,SupplierTransactions,10,15,150,10,0.432639,10,1.0,0.432639,False
People,SpecialDeals,21,14,294,14,0.4321,14,1.0,0.4321,False
StateProvinces,SystemParameters,10,13,130,10,0.432068,10,1.0,0.432068,False
Invoices,People,25,21,525,21,0.43169,21,1.0,0.43169,False
StockItemStockGroups,SupplierCategories,5,5,25,5,0.430451,5,1.0,0.430451,False
ColdRoomTemperatures,Orders,6,16,96,6,0.430154,6,1.0,0.430154,False
SupplierTransactions,VehicleTemperatures,15,8,120,8,0.429666,8,1.0,0.429666,False
StateProvinces,StockItemTransactions,10,11,110,10,0.429085,10,1.0,0.429085,False
CustomerTransactions,StateProvinces,14,10,140,10,0.427194,10,1.0,0.427194,False
ColdRoomTemperatures,Invoices,6,25,150,6,0.426727,6,1.0,0.426727,False
StockItemStockGroups,TransactionTypes,5,5,25,5,0.426675,5,1.0,0.426675,False
People,PurchaseOrderLines,21,12,252,12,0.426405,12,1.0,0.426405,False
People,SystemParameters,21,13,273,13,0.425266,13,1.0,0.425266,False
PaymentMethods,StockItemStockGroups,5,5,25,5,0.424913,5,1.0,0.424913,False
PurchaseOrders,StateProvinces,12,10,120,10,0.4235,10,1.0,0.4235,False
People,StockItemTransactions,21,11,231,11,0.419802,11,1.0,0.419802,False
StateProvinces,StockItemHoldings,10,9,90,9,0.419714,9,1.0,0.419714,False
Suppliers,VehicleTemperatures,29,8,232,8,0.419371,8,1.0,0.419371,False
Customers,VehicleTemperatures,31,8,248,8,0.419229,8,1.0,0.419229,False
OrderLines,People,12,21,252,12,0.418864,12,1.0,0.418864,False
CustomerTransactions,People,14,21,294,14,0.417837,14,1.0,0.417837,False
People,StockItemHoldings,21,9,189,9,0.413084,9,1.0,0.413084,False
PurchaseOrders,VehicleTemperatures,12,8,96,8,0.412228,8,1.0,0.412228,False
People,VehicleTemperatures,21,8,168,8,0.410215,8,1.0,0.410215,False
ColdRoomTemperatures,PurchaseOrders,6,12,72,6,0.408627,6,1.0,0.408627,False
SystemParameters,VehicleTemperatures,13,8,104,8,0.40478,8,1.0,0.40478,False
PurchaseOrderLines,VehicleTemperatures,12,8,96,8,0.404184,8,1.0,0.404184,False
People,SupplierTransactions,21,15,315,15,0.402992,15,1.0,0.402992,False
ColdRoomTemperatures,SupplierTransactions,6,15,90,6,0.402523,6,1.0,0.402523,False
StockItems,SystemParameters,25,13,325,13,0.401792,13,1.0,0.401792,False
DeliveryMethods,StockItemStockGroups,5,5,25,5,0.400896,5,1.0,0.400896,False
SpecialDeals,VehicleTemperatures,14,8,112,8,0.399796,8,1.0,0.399796,False
InvoiceLines,People,13,21,273,13,0.399507,13,1.0,0.399507,False
OrderLines,VehicleTemperatures,12,8,96,8,0.398111,8,1.0,0.398111,False
ColdRoomTemperatures,SystemParameters,6,13,78,6,0.392868,6,1.0,0.392868,False
InvoiceLines,VehicleTemperatures,13,8,104,8,0.39275,8,1.0,0.39275,False
ColdRoomTemperatures,OrderLines,6,12,72,6,0.392275,6,1.0,0.392275,False
ColdRoomTemperatures,SpecialDeals,6,14,84,6,0.3919,6,1.0,0.3919,False
CustomerTransactions,VehicleTemperatures,14,8,112,8,0.387508,8,1.0,0.387508,False
ColdRoomTemperatures,PurchaseOrderLines,6,12,72,6,0.384889,6,1.0,0.384889,False
StockItems,VehicleTemperatures,25,8,200,8,0.384882,8,1.0,0.384882,False
ColdRoomTemperatures,CustomerTransactions,6,14,84,6,0.383448,6,1.0,0.383448,False
ColdRoomTemperatures,InvoiceLines,6,13,78,6,0.37983,6,1.0,0.37983,False
ColdRoomTemperatures,StockItemTransactions,6,11,66,6,0.379656,6,1.0,0.379656,False
ColdRoomTemperatures,StockItemHoldings,6,9,54,6,0.369359,6,1.0,0.369359,False
StockItemTransactions,VehicleTemperatures,11,8,88,8,0.362076,8,1.0,0.362076,False
ColdRoomTemperatures,StockItemStockGroups,6,5,30,5,0.359394,5,1.0,0.359394,False
StateProvinces,VehicleTemperatures,10,8,80,8,0.345388,8,1.0,0.345388,False
StockItemStockGroups,VehicleTemperatures,5,8,40,5,0.345269,5,1.0,0.345269,False
StockItemHoldings,VehicleTemperatures,9,8,72,8,0.344577,8,1.0,0.344577,False
DeliveryMethods,VehicleTemperatures,5,8,40,5,0.340978,5,1.0,0.340978,False
Colors,VehicleTemperatures,5,8,40,5,0.332212,5,1.0,0.332212,False
SupplierCategories,VehicleTemperatures,5,8,40,5,0.330503,5,1.0,0.330503,False
CustomerCategories,VehicleTemperatures,5,8,40,5,0.326007,5,1.0,0.326007,False
PackageTypes,VehicleTemperatures,5,8,40,5,0.315355,5,1.0,0.315355,False
PaymentMethods,VehicleTemperatures,5,8,40,5,0.315185,5,1.0,0.315185,False
Cities,VehicleTemperatures,8,8,64,8,0.313978,8,1.0,0.313978,False
BuyingGroups,VehicleTemperatures,5,8,40,5,0.307279,5,1.0,0.307279,False
StockGroups,VehicleTemperatures,5,8,40,5,0.306147,5,1.0,0.306147,False
TransactionTypes,VehicleTemperatures,5,8,40,5,0.287961,5,1.0,0.287961,False
